gene_id,SRR22458540,SRR22458547,SRR7780828,SRR7780898,SRR7819748,SRR7819792,SRR7819798,SRR7819835,SRR7819862,SRR7819901,SRR7819906,SRR7819938
STX7,273,449,1190,690,2101,3043,3479,1646,8146,1352,3786,1744
VNN1,595,655,2179,1291,380,2387,2094,2036,4833,1863,1068,2673
SLC18B1,161,167,1816,1265,1893,881,1236,1089,2156,1682,2251,989
RPS12,1897,6300,787,490,74506,40914,45070,62574,153458,59351,80556,87411
EYA4,39,5,2826,1914,7,77,263,200,75,119,69,135
TBPL1,45,46,779,274,370,364,453,326,907,506,706,446
SLC2A12,183,110,2978,1750,279,767,712,398,1515,1465,1244,296
ALDH8A1,4,8,2196,1233,87,51,48,12,74,63,70,78
SGK1,172,143,1922,1146,2536,2504,4418,3922,9473,12326,7228,3919
HBS1L,447,617,3390,2115,2538,3143,3220,2937,5009,620,3848,3658
MTFR2,37,73,1388,898,230,212,945,456,1623,549,447,435
PDE7B,60,133,2095,1234,659,990,2393,449,1776,1522,1268,339
MYB,56,237,3419,2016,517,565,985,108,1959,682,1649,610
AHI1,207,185,6508,3890,882,1042,1124,745,1592,872,1772,1049
BCLAF1,807,1440,5987,3520,5010,7226,6122,1897,10942,2905,6947,4230
SLC35D3,69,2,2099,1088,19,0,0,9,12,11,9,127
PEX7,130,235,1579,877,1305,1280,1108,2846,3519,713,1774,1548
MAP7,116,210,2384,1524,1388,1409,1442,947,1530,570,1082,1976
MAP3K5,231,327,5547,3564,835,1988,1363,2481,1010,602,1832,1020
IL22RA2,5,131,1017,651,6,930,222,14,239,137,89,791
IL20RA,234,31,2093,1208,477,91,147,385,48,773,144,6218
IFNGR1,246,297,2418,1547,2208,4572,5370,3015,6591,12068,8039,3594
TNFAIP3,72,59,3874,2179,1265,2109,1778,727,625,762,1158,541
PERP,2672,1202,555,316,22860,5052,11369,140,11752,15109,5007,50985
HEBP2,113,72,544,333,1147,726,2000,975,3059,2065,1372,5711
ARFGEF3,365,1723,7867,4244,1543,6024,2116,141,3943,2599,2002,812
NHSL1,420,123,6158,3693,688,1379,1134,734,1341,729,1468,1773
FAM133B,7,11,118,100,27,33,43,71,55,21,70,34
CCDC28A,71,101,1320,769,1423,1072,1413,759,2650,2205,2648,1079
ABRACL,33,52,434,265,794,1144,2281,1870,4629,1974,1809,1932
REPS1,261,262,2414,1551,2285,1859,2714,4103,2777,3442,2563,3038
ECT2L,16,12,96,68,14,37,48,37,31,165,26,16
TXLNB,25,7,2869,1560,5,46,10,28,238,60,9,19
HECA,792,895,1854,1005,3454,5304,4649,3140,4904,6207,5084,3412
CITED2,141,201,1438,744,849,1586,931,1428,1928,962,3061,1606
NMBR,4,0,2149,1238,3,19,10,0,14,0,0,0
GJE1,0,0,1038,539,0,0,0,0,0,0,0,0
VTA1,147,174,1581,928,1760,1345,1779,1328,2911,1674,1852,1439
ADGRG6,351,534,6975,3980,1624,2305,2694,640,2198,636,1477,753
HIVEP2,1033,765,13609,7955,3628,3845,3481,1660,2996,3428,3548,3017
ADAT2,81,80,1004,573,395,594,524,179,889,1029,723,638
AIG1,311,584,873,563,3746,2583,2478,6912,9081,6128,5172,2485
PEX3,196,181,1991,1258,1262,1264,1470,758,2949,1084,1262,1396
FUCA2,226,295,1663,968,2259,2637,4926,2246,5756,4548,3707,1492
LTV1,107,168,2449,1519,1923,1407,1391,930,3890,1056,1872,2319
PHACTR2,755,1448,2298,1615,5297,8630,7485,3114,8604,2693,8705,1003
SF3B5,99,132,121,44,2705,1748,4022,2250,5131,9047,2932,4351
STX11,25,24,1339,745,281,953,1348,311,1510,395,1220,640
TRNAL-UAA,0,0,1,2,1,0,1,0,1,1,1,1
ZC2HC1B,19,43,803,729,146,172,108,32,120,63,56,98
PLAGL1,57,48,1714,1057,965,826,747,283,1147,518,796,521
FBXO30,256,241,5242,2903,813,1359,1059,1485,2095,961,1322,731
EPM2A,16,33,1067,550,65,90,57,232,183,82,100,61
SHPRH,360,438,8266,4878,1133,1353,1065,523,1349,1180,1619,764
UTRN,4231,4310,11468,7649,20738,12527,6998,13629,3572,662,14217,2655
RAB32,111,359,705,518,4252,3481,13281,1553,6142,3826,3927,1575
SAMD5,61,35,49,21,126,61,111,31,99,119,40,664
STXBP5,447,297,5277,3483,642,1613,1170,939,1470,1730,1600,1796
SASH1,1132,415,4437,2580,657,5511,2154,3335,3574,5440,5369,2374
UST,654,145,1814,1074,153,1261,564,1749,1453,1647,1278,2399
ZC3H12D,18,15,1217,743,127,370,572,158,661,440,164,309
TAB2,482,474,3482,2811,3873,3291,4062,3613,4232,4349,3454,3019
PPIL4,238,221,2506,1467,1094,1290,997,692,2007,925,2053,1410
GINM1,214,304,1541,881,1392,1821,2124,2043,3796,710,3128,2700
KATNA1,96,127,2457,1564,1506,949,1426,1261,2145,2423,1671,1758
NUP43,78,102,1702,1131,733,718,707,439,1566,154,1019,912
LATS1,212,297,6726,3836,859,1298,508,344,351,87,950,327
PCMT1,225,189,1419,723,1113,1564,1921,4391,4109,999,2655,2825
LRP11,157,282,1091,658,364,815,1458,1321,1740,2342,642,2500
PPP1R14C,210,201,653,454,1386,563,1382,92,3454,3034,493,4183
PLEKHG1,187,177,5451,3933,2738,1680,3177,153,1664,1129,1300,2407
MTHFD1L,147,166,3218,1888,1615,1365,2344,668,4168,2143,3084,1906
ZBTB2,82,82,3015,1636,824,895,904,612,1575,1231,835,727
RMND1,65,84,2564,1678,556,552,705,964,1475,1288,1091,606
ARMT1,103,99,2974,1701,356,1047,765,544,2044,418,1077,804
AKAP12,1593,865,5809,4083,561,12894,4558,13942,20660,11180,16615,1885
CCDC170,80,33,2226,1482,156,149,204,540,281,206,478,66
ESR1,626,1068,2979,1721,825,3628,1985,6696,3376,3181,2008,455
MYCT1,138,144,1097,660,20,915,686,522,2092,519,2303,425
FBXO5,21,56,2884,1490,154,114,212,35,717,41,152,194
MTRF1L,30,55,1987,1059,394,358,380,129,886,913,480,386
RGS17,79,49,884,569,17,103,30,141,116,88,57,31
IPCEF1,51,16,1863,1161,115,523,130,192,247,290,240,216
CNKSR3,114,191,1375,909,2323,1564,2179,346,1848,1386,2192,895
SYNE1,2747,1238,36918,21727,561,5344,1732,5921,3654,4017,10731,1991
SCAF8,637,889,6571,4402,3446,2836,2690,1838,2897,1939,3251,1760
TIAM2,120,166,4912,3134,510,477,347,93,667,376,607,572
TFB1M,33,21,1413,767,469,265,428,339,338,296,281,204
CLDN20,26,26,1094,810,21,6,10,0,10,0,0,23
TMEM242,134,217,1166,775,1562,1244,1676,2070,2892,1464,2170,1604
LDHAL6B,28,4,26,45,56,86,76,22,98,125,34,50
ARID1B,638,631,7345,4173,4552,3923,3203,3035,1799,1564,3013,1648
ZDHHC14,100,30,1516,869,12,851,394,811,742,975,1372,345
SNX9,679,369,2883,1657,1760,4622,4348,10002,7128,10265,6425,4909
SERAC1,83,89,2378,1502,431,775,684,609,958,328,580,864
SYNJ2,540,443,4240,2315,4385,3725,4402,766,2964,2026,2641,2417
GTF2H5,53,91,390,215,910,705,1245,895,2279,2153,1331,2292
TULP4,214,210,5821,3090,748,1240,843,617,470,173,685,794
DYNLT1,83,174,671,370,2867,1105,3003,2218,5740,4562,3013,3037
TMEM181,247,346,2147,1175,3675,2607,3321,1120,3923,4582,2165,1914
TAGAP,15,31,3527,1970,239,1013,234,182,719,356,1377,304
RSPH3,12,9,2592,1458,361,101,219,138,466,488,193,174
SYTL3,29,202,2009,1190,1215,1214,773,103,2136,3207,1737,666
EZR,2403,1810,1661,964,42978,20124,38447,12347,95178,88652,25323,45262
SOD2,385,1140,556,368,3947,16520,21012,7191,11281,5263,18493,7338
FNDC1,1301,259,6442,3615,369,1819,1752,6302,7793,4930,2535,3047
