gene_id,SRR22458540,SRR22458547,SRR7780828,SRR7780898,SRR7819748,SRR7819792,SRR7819798,SRR7819835,SRR7819862,SRR7819901,SRR7819906,SRR7819938
GABRA1  ,22,34,1870,1249,25,82,147,0,234,171,126,25
GABRB2  ,32,6,2226,1407,0,4,0,0,0,0,0,8
PTTG1  ,17,57,673,459,251,33,401,88,1240,440,76,408
ZBED8  ,41,74,4583,2703,245,470,387,163,544,452,289,229
SLU7  ,411,614,2396,1778,4820,4796,3480,3338,7914,4435,8573,4666
C1QTNF2  ,63,28,1163,714,60,134,210,141,689,1281,477,320
CCNJL  ,15,96,610,422,1579,699,918,61,900,1101,969,204
ATP10B  ,232,82,5343,3012,84,589,341,0,60,60,68,1436
PWWP2A  ,188,268,1348,1263,702,741,669,1006,1429,817,949,661
ADRA1B  ,14,0,1768,1025,0,13,20,46,8,0,11,40
TTC1  ,95,120,1330,952,1628,1006,1407,1460,2306,3004,1834,1407
UBLCP1  ,159,214,2170,1273,636,1753,1578,346,3544,643,1093,1608
RNF145  ,291,490,3343,2064,2646,3045,2617,2167,4692,548,5084,3518
LSM11  ,114,117,8,16,784,491,409,338,622,670,598,604
CLINT1  ,476,1665,3048,1946,4756,8837,3521,2702,7350,809,3611,3912
EBF1,540,243,1988,1164,35,1456,316,3493,948,280,1687,339
THG1L,51,120,1910,1080,676,634,489,183,1234,724,832,884
SOX30,0,0,2848,1718,9,17,6,0,0,0,16,0
NIPAL4,117,32,1361,943,138,45,7,0,44,120,42,6772
ADAM19,258,274,2587,1524,38,1534,748,1168,1749,1841,3761,1082
ITK,7,23,2638,1543,120,654,59,32,234,274,421,164
MED7,78,71,1263,866,518,651,718,472,2009,936,988,913
HAVCR2,11,14,1155,654,35,80,23,36,48,0,81,19
CYFIP2,128,67,3586,2311,519,1199,747,135,642,694,2181,2879
FNDC9,4,4,1248,771,0,6,3,0,0,0,0,55
HAVCR1,19,24,1479,782,96,716,158,217,430,0,388,470
TIMD4,132,90,1704,1214,705,1890,1013,3807,2880,568,2081,1694
MRPL22,61,101,518,311,1261,712,1141,1455,3563,2785,2300,1984
SGCD,449,110,1193,839,213,215,134,3323,726,458,334,650
CNOT8,158,344,1522,1003,1207,1244,1269,925,3029,578,1781,1376
GEMIN5,273,485,4755,3296,1948,2021,1750,2503,2307,1063,2074,1640
SAP30L,338,334,1034,496,3758,3202,2667,3308,3166,5188,4161,1884
LARP1,1497,1948,3401,1859,9953,8738,5775,11505,6509,7058,6602,5908
FAXDC2,495,473,1148,606,18433,8860,7619,23002,11600,21758,14413,3782
GALNT10,307,268,1514,932,812,4724,2297,845,3347,5953,4610,3720
MFAP3,213,342,2001,1356,701,1692,1111,614,1808,842,1592,1125
FAM114A2,285,223,1888,1333,1755,1990,2230,2821,4263,1050,3066,3285
NMUR2,25,0,1981,1264,0,43,0,238,34,26,221,26
GRIA1,61,39,3150,1931,17,1091,169,605,123,1287,3373,148
GLRA1,6,0,1399,886,7,6,5,0,8,14,10,7
ATOX1,87,174,163,69,1406,1761,2876,4587,3876,13141,2420,4043
G3BP1,1827,2056,1518,1497,6862,8365,9051,6638,13482,14260,7065,9585
SLC36A1,155,183,1263,862,1044,1406,1291,516,1293,797,973,1871
FAT2,1116,1266,20341,11612,23296,3360,2968,0,2715,2374,3567,2815
SLC36A2,50,6,1951,1165,10,34,42,0,1077,447,54,751
SLC36A3,5,0,1772,1077,0,0,9,6,11,15,7,4
GM2A,579,242,508,301,2799,2303,3818,9507,3469,11675,6860,16187
CCDC69,156,30,640,391,127,837,899,7220,1016,1152,2326,568
ZNF300,23,28,447,349,139,97,93,62,262,158,277,60
TNIP1,357,410,1256,650,5293,4649,5991,10074,7110,9252,6797,6575
GPX3,330,2624,420,240,13013,37165,59921,5118,87942,168441,91862,7411
SPARC,23842,8721,1095,689,2483,30477,26208,109509,171304,87428,48321,55713
MYOZ3,7,0,566,344,24,28,13,0,552,0,30,9
SMIM3,50,57,110,148,1495,2346,1442,826,2367,2221,3283,1142
DCTN4,535,757,1608,1058,3047,3460,3216,2793,5900,2420,3772,2951
RBM22,167,267,1261,707,3088,1930,2078,1605,3612,4836,3078,2280
SYNPO,159,75,4309,2148,5321,2880,4472,701,2932,5748,4275,2153
NDST1,346,1071,3065,1698,4875,6644,2326,1265,4178,739,3157,2320
RPS14,2314,6621,1081,571,121497,65713,81018,89468,174919,267232,167303,102014
ARSI,4,0,3115,1551,13,28,33,55,172,60,49,109
SLC6A7,15,0,2015,1015,133,118,168,165,356,784,755,65
CAMK2A,35,11,1621,908,311,421,654,269,952,1562,795,190
CD74,651,1363,603,415,59573,73614,134489,51005,100313,207371,64733,38816
TCOF1,166,170,3840,1976,2985,1196,1656,984,1689,2998,1664,1428
PDGFRB,874,1020,3419,1841,111,5300,1196,5044,3888,713,6341,1934
TIGD6,28,47,2704,1701,460,379,267,372,472,355,442,203
HMGXB3,304,530,3903,2504,3943,3052,3073,1837,3677,4703,3244,2806
CSF1R,758,358,2919,1640,1308,7601,4332,19675,8610,5966,9981,5800
SLC26A2,448,680,4734,3101,985,1465,1367,830,2261,1326,822,1557
PPARGC1B,97,128,3050,1462,428,559,432,1204,334,184,300,434
MIR378,0,1,10,5,1,1,2,0,0,0,0,0
MIR378,0,0,1,1,1,1,1,0,0,0,0,0
ARHGEF37,349,446,1916,1183,5914,3887,2784,5697,3486,4160,6980,4362
MIR145,0,1,1,1,1,1,1,1,1,1,1,1
MIR145,1,2,26,19,2,4,3,6,9,11,13,4
MIR143,2,1,27,13,1,4,3,1,6,3,2,0
MIR143,1,1,3,1,1,1,1,1,1,1,1,0
IL17B,15,28,656,400,370,462,655,8,871,2472,511,560
PCYOX1L,35,74,1687,870,1303,851,1284,147,1431,1970,643,614
GRPEL2,107,139,1006,521,413,633,678,306,1228,1272,740,783
CSNK1A1,2108,2841,1262,853,9529,13816,12937,11484,21947,14135,12015,14638
AFAP1L1,92,117,2064,1035,118,994,1081,548,1318,1584,2223,448
ABLIM3,528,438,1394,859,1564,6810,6117,5868,6203,14885,12213,4252
SH3TC2,139,87,3977,2477,1766,469,632,72,726,512,667,929
ADRB2,99,48,2326,1502,260,1728,789,2323,1218,2121,1422,713
HTR4,9,0,1926,1150,0,48,23,8,19,88,34,362
GZMK,0,0,1145,702,184,886,147,60,1053,1388,1014,127
ESM1,9,48,784,599,123,228,4144,26,1323,152,184,214
CSPG4B,207,321,12908,7866,1767,749,507,340,514,308,456,194
FBXO38,267,261,4675,2820,2108,1608,1398,1018,2585,1897,2223,2328
SPINK7,23,11,436,222,38,18,0,34,18,14,49,898
SPINK13,9,0,0,3,11,11,0,0,6,33,0,0
HSPB3,0,3,842,558,37,5,8,0,47,9,6,281
SNX18,856,1739,3391,1823,2872,5535,5820,3211,8487,3776,6467,2103
ARL15,112,146,791,537,333,650,974,189,997,1093,691,633
FST,128,160,782,498,223,749,1439,431,1694,3893,541,794
NDUFS4,181,187,448,302,2065,1529,1996,3232,4633,3472,4038,3125
MOCS2,127,248,890,565,2108,1299,1725,3460,4143,3537,3390,2505
ITGA2,399,327,5623,3242,734,1698,3497,408,1700,1355,1053,996
ISL1,11,0,1847,1031,0,0,6,0,4,0,42,12
ITGA1,674,461,5851,3675,88,2029,1597,6082,1593,2083,2002,696
PELO,63,65,248,204,518,571,760,1029,904,1577,694,763
EMB,68,27,1436,1005,216,883,541,541,877,291,1060,563
PARP8,193,126,3824,2362,2681,1773,1749,316,1680,1423,1446,876
MRPS30,62,148,1881,1136,1111,805,1020,1009,2169,2213,856,946
HCN1,4,0,3883,2106,0,10,8,0,9,22,6,175
FGF10,47,58,2328,2045,24,1045,291,220,1915,3024,422,200
NNT,414,1037,3670,2407,5712,4188,5427,4374,5365,699,2204,1673
C4H5orf34,6,20,3121,1875,0,0,48,0,104,14,0,69
CCL28,0,79,306,234,1344,1003,1724,0,545,549,300,1208
TMEM267,45,43,1931,1178,1090,547,544,254,783,550,570,296
PAIP1,364,574,937,564,3921,3367,4006,3576,9187,3554,4644,3943
NIM1K,6,0,2093,1257,237,60,46,190,43,144,79,24
ZNF131,108,171,3410,2024,1044,817,725,481,1730,657,1214,1022
HMGCS1,2121,360,1633,1092,2680,1944,2087,43776,3958,1352,3885,20017
CCDC152,82,58,2301,1271,76,264,140,213,178,314,389,92
SELENOP,5000,3399,564,368,22119,58610,23568,179666,101257,14958,198406,41975
FBXO4,53,87,2665,1710,688,938,668,704,1863,1227,1212,621
GHR,849,180,3688,2112,639,1755,1016,31887,2093,317,4301,965
C4H5orf51,366,279,1462,996,865,2143,1387,1187,3029,1750,2036,1378
OXCT1,538,665,2302,1464,3446,3797,1567,11287,4233,172,2800,2663
PLCXD3,119,18,1842,938,16,1032,963,453,409,1349,738,218
C6,114,41,3584,2221,53,4769,2199,679,1822,1615,11724,155
C7,752,200,3720,2366,42,23548,5989,8832,9618,31559,16884,2841
CARD6,210,132,7473,4401,1626,2530,1988,2328,2055,1296,3589,670
RPL37,1347,4779,0,0,58813,28099,37771,50377,104743,148153,91781,65150
PRKAA1,264,345,2808,1726,1300,2056,1789,836,2799,1453,1836,1419
TTC33,181,252,1226,868,1131,1424,1221,1064,2104,1580,2138,961
PTGER4,119,137,2706,1529,245,1167,781,623,1616,3389,3176,1248
C9,0,0,1821,1270,32,0,0,0,0,0,0,0
DAB2,794,600,3499,2337,462,10961,4527,6154,9599,4829,6204,3145
OSMR,496,1800,3015,1970,4784,23872,21043,3740,20193,14322,16859,10047
FYB1,32,19,3123,2153,72,761,266,353,443,604,480,200
RICTOR,669,1097,8996,5733,1767,3765,2059,702,2200,2107,2159,953
LIFR,243,1338,4452,2773,1608,1612,357,650,690,246,765,92
EGFLAM,103,192,3499,2227,29,456,352,468,1077,1410,505,652
WDR70,199,305,2542,1669,3284,2764,2370,3359,3701,2004,3962,1929
NUP155,375,548,6766,4278,2243,1782,1439,769,2632,1175,1821,1388
CPLANE1,1027,876,15219,10326,3951,3901,2610,2393,3898,6594,5436,2689
NIPBL,1002,1244,16797,10021,4907,6568,3672,2292,4357,2706,4562,2964
SLC1A3,283,44,1473,1002,42,167,225,6616,366,100,871,781
RANBP3L,38,4,2591,1698,27,215,76,47,161,107,141,41
NADK2,218,149,2082,1248,530,870,824,833,1249,303,513,637
CAPSL,0,0,619,399,8,37,0,0,47,35,10,10
IL7R,21,28,1811,1184,278,1438,350,1041,453,2361,872,222
LMBRD2,549,845,4451,2812,1089,2796,1880,655,2826,651,1461,1012
SKP2,107,124,1506,1028,428,244,389,188,1009,259,413,681
SPEF2,37,0,7976,4946,9,29,0,394,80,108,46,22
DNAJC21,141,194,2235,1347,909,1126,808,1835,2373,1265,1160,1773
PRLR,1552,3319,2089,1453,2304,11239,5394,432,15088,8385,10571,1417
RAD1,62,84,1446,979,588,601,767,242,1121,633,950,560
TTC23L,13,21,2230,1400,96,51,52,49,218,117,79,55
BRIX1,71,132,887,688,1507,1151,1761,808,4209,3908,1971,2519
RAI14,556,405,5308,3192,623,4150,1986,381,2227,374,4330,3096
C1QTNF3,338,43,810,543,15,344,129,0,1829,598,80,971
AMACR,238,217,2096,1203,1066,1371,1947,3221,3103,2641,1208,1718
TARS1,302,465,3582,2180,3353,3093,2554,3329,5300,1632,4094,4543
RXFP3,0,0,873,497,0,0,0,0,0,0,0,0
ADAMTS12,277,273,4087,2355,17,235,67,1656,158,5,280,62
ADAMTS12,123,111,827,572,7,139,93,939,181,4,315,35
NPR3,181,27,2657,1476,33,68,169,6324,82,53,78,161
SUB1,327,776,298,199,4022,4933,6767,5251,14739,4673,7692,8041
ZFR,457,655,3480,2558,3852,4568,3840,2643,5776,2749,4326,2565
MTMR12,135,228,2098,1246,3003,1465,1532,570,2006,530,1765,816
GOLPH3,561,1087,679,594,5101,5313,5806,2031,10433,3156,5166,3804
C4H5orf22,114,165,2202,1309,743,987,871,241,1493,752,932,721
PDZD2,906,464,7109,3939,395,1869,811,4193,622,1137,621,1842
CDH6,42,51,3059,1756,0,160,115,127,196,101,123,91
DROSHA,233,267,5465,3331,1646,1653,1638,944,2501,1761,1601,1399
MIR8903,3,4,53,40,19,11,5,3,9,4,14,6
MIR8903,1,1,1,1,1,1,1,1,0,1,1,0
CDH10,0,0,4112,2547,0,0,0,0,0,0,0,0
BASP1,48,53,543,292,312,832,1714,326,2288,1873,969,1468
MYO10,422,847,6727,3970,4409,4564,3779,2476,3624,2288,1744,4961
ZNF622,60,66,1556,871,1584,801,1352,2777,1617,4628,1629,1090
RETREG1,165,83,1639,976,391,1012,786,7750,1411,1266,1804,925
FBXL7,105,64,1504,756,57,762,1256,632,875,1763,1255,520
ANKH,167,85,1600,930,858,1114,1877,863,1375,827,986,3411
GLB1L3,29,0,2129,1162,0,30,9,0,103,192,31,297
ACAD8,276,458,1483,931,3218,2989,2902,5479,5019,7206,4340,3140
MIR8868,0,1,0,1,1,1,1,0,1,0,0,1
THYN1,122,152,844,527,1369,748,1770,3000,2653,5135,2589,2789
VPS26B,194,222,709,408,3986,2077,2884,2667,2942,3501,3260,3250
MIR8868,1,2,0,1,40,8,12,0,1,0,1,2
NCAPD3,147,236,5892,3634,656,656,1188,363,1694,422,1582,1456
IGSF9B,0,0,5876,2948,8,29,16,55,17,28,80,13
JAM3,84,103,893,516,57,669,1266,778,1473,1301,847,830
OPCML,0,0,951,582,0,0,0,0,0,0,0,0
ADAMTS15,102,91,2985,1517,41,300,183,981,712,39,350,258
ADAMTS8,35,11,3372,1625,8,76,141,167,89,171,108,356
ST14,46,191,3906,2067,4209,1880,7568,360,2890,6337,1615,2872
NTM,26,0,1574,731,0,14,106,125,155,82,92,6
ZBTB44,769,880,3189,1855,3024,3006,2797,3281,3944,2102,2847,1698
PRDM10,93,141,4255,2636,388,511,362,229,467,280,428,376
APLP2,1347,1277,3008,1763,6315,8434,9429,10553,14504,12611,19929,14132
TMEM45B,10,122,1039,686,225,1517,1468,11,2839,3399,1966,1551
NFRKB,201,272,3737,2299,3143,2400,1346,855,1991,1981,2284,1297
BARX2,88,545,806,420,17863,3491,7870,21,8808,7251,4102,5283
ARHGAP32,619,679,9892,5876,5232,3408,1912,1236,2446,4790,2267,1673
FLI1,176,168,1928,993,154,2119,1374,1529,1854,2119,3654,854
ETS1,486,450,1583,848,3126,6757,8048,1541,5824,2457,8144,3370
ST3GAL4,98,271,1006,561,4866,3521,2819,1186,6120,5895,4159,1596
DCPS,60,186,1425,716,3027,1300,2013,1649,3880,3435,2467,1789
KIRREL3,0,8,3283,1644,88,62,150,0,205,85,68,16
TIRAP,89,120,1433,704,738,966,766,447,834,484,672,575
FOXRED1,103,165,1186,690,2466,1768,1774,3034,3082,4158,2269,1681
RPUSD4,32,83,1183,692,637,427,333,586,442,94,657,354
FAM118B,44,98,1339,820,232,492,728,485,1366,998,1004,845
SRPRA,877,1123,2429,1343,11115,12166,12289,9520,14428,11720,11754,11240
VSIG10L2,0,0,37,30,0,0,0,0,0,0,0,0
DDX25,20,31,1835,1189,61,97,91,957,575,132,208,59
PATE3,0,0,453,336,0,0,0,0,0,0,0,0
HYLS1,28,46,1536,929,329,212,318,282,692,341,538,215
PUS3,54,55,2358,1691,566,446,532,507,720,520,526,760
ACRV1,0,0,2242,1464,14,10,6,0,7,29,20,0
CHEK1,50,46,2086,1398,179,148,282,71,552,101,239,249
CDON,1686,710,4538,2678,2137,3529,4503,15504,4552,9041,3070,2268
STT3A,543,1040,2579,1905,6955,6572,6341,4801,13080,6502,8337,8232
EI24,228,360,1301,757,3002,2635,3384,3438,4574,4555,2632,3612
FEZ1,22,0,975,609,59,100,74,329,223,263,365,126
SLC37A2,149,111,1466,832,372,2472,4764,3147,3415,4408,1590,9034
PKNOX2,28,12,1231,555,121,96,194,307,102,322,207,95
TMEM218,34,19,304,189,591,295,561,1247,679,1142,499,460
HEPACAM,0,2,1140,597,0,0,30,0,0,0,0,0
ROBO3,15,0,1166,543,90,106,285,289,257,464,359,78
ROBO4,122,86,3152,1558,38,959,786,1894,983,1495,1613,535
CCDC15,204,218,4793,2711,1928,1471,1050,672,2097,868,2108,928
MSANTD2,127,132,2427,1436,1322,892,861,386,1708,837,1308,505
ESAM,207,155,974,473,89,1794,1355,2399,2527,2690,3322,1418
VSIG2,6,3,1063,497,0,27,0,47,29,51,25,0
NRGN,10,3,421,261,109,108,143,7,268,309,251,152
SIAE,124,90,1831,1079,3148,2037,1512,1798,2092,1830,2524,809
SPA17,14,14,892,538,680,271,443,699,1500,2415,869,768
TBRG1,201,285,1389,887,3445,2610,2843,1996,4314,7525,3744,2783
VWA5A,170,71,3192,1889,203,4030,1177,4836,2420,2300,6676,2123
ZNF202,84,131,2345,1443,1218,709,685,405,932,980,1276,682
SCN3B,38,32,738,450,39,721,710,65,908,3868,4692,102
GRAMD1B,68,246,2548,1242,226,2104,482,264,984,1427,4201,97
CLMP,647,407,767,468,559,2567,1900,3511,6757,4667,2124,5843
CRTAM,0,0,1672,1020,15,19,4,17,4,42,15,12
JHY,0,0,4699,2659,119,70,113,442,211,402,162,41
HSPA8,2228,5202,364,241,24996,27686,42050,37876,75103,24762,32549,98209
UBASH3B,146,128,1509,896,304,1680,1430,676,1972,2165,2355,1247
MIR99A-2,0,1,8,5,0,0,0,0,0,0,0,0
MIRLET7A-2,0,2,149,86,0,0,0,0,0,0,0,0
MIRLET7A-2,0,1,1,1,0,0,0,0,0,0,0,0
BLID,39,34,4,5,8,21,0,2,0,10,0,0
MIR99A-2,1,2,127,97,0,0,0,0,0,0,0,0
MIR125B-1,2,1,39,12,0,0,0,0,0,0,0,1
MIR125B-1,1,0,1,1,0,0,0,0,0,0,0,0
SC5D,184,148,1583,1054,1007,1093,818,526,2201,546,1139,1699
SORL1,191,89,5918,3465,1104,980,566,2268,986,1516,3723,759
TECTA,261,192,9141,5415,1270,1169,968,626,1004,1435,1227,439
GRIK4,12,86,2525,1493,448,351,302,17,464,315,178,113
TLCD5,16,4,619,504,130,87,88,9,46,37,54,16
POU2F3,173,35,964,537,369,456,218,0,115,950,310,3613
OAF,217,118,789,367,718,1713,1688,1737,4031,2813,3665,1627
ARHGEF12,2264,2367,6894,4486,13112,10794,7992,6094,7060,5037,9994,7305
TRIM29,1165,731,2072,1137,30556,3572,3952,0,7346,5410,4744,32261
NECTIN1,441,162,2130,1248,7994,2986,4487,401,3679,8613,2672,11192
C1QTNF5,40,31,727,362,701,965,3175,848,3624,7266,2933,1116
RNF26,73,92,1838,1003,1217,994,1324,1164,1795,1662,933,1127
USP2,62,43,2136,1201,283,572,537,417,828,2516,790,1090
THY1,977,444,727,377,679,9538,7232,12020,32327,27065,24451,13810
CCDC153,39,11,629,375,294,47,66,25,90,257,48,245
ABCG4,0,4,1430,819,11,22,8,11,22,37,21,126
PDZD3,58,27,1438,760,168,103,111,82,168,557,271,392
NLRX1,172,179,3561,1771,1653,1293,1175,1890,1577,1421,1531,1461
HINFP,152,197,1633,770,2901,1616,2343,1787,3032,4403,2108,2159
C2CD2L,53,64,2281,1103,638,590,719,527,1022,1073,774,555
H2AX,28,47,222,85,416,146,614,154,910,716,415,438
MCAM,1030,468,2673,1359,149,2757,3518,53328,6424,4797,7595,3303
CBL,632,398,3624,2011,2663,4152,2258,2371,1626,412,3762,1505
DPAGT1,74,131,1202,617,1468,1939,2168,1034,3171,2572,2093,2657
HMBS,101,234,903,513,2266,1510,2544,1608,2778,3605,1994,1848
VPS11,292,472,3195,1968,5498,3425,3114,4256,5588,7641,5958,2638
SLC37A4,30,75,1387,807,1272,679,973,600,1409,1209,935,475
TRAPPC4,69,110,547,315,1290,849,1440,1629,2329,2374,1770,1974
HYOU1,506,1315,2876,1678,3295,7339,8538,2158,8541,4791,4573,8524
RPS25,2191,6118,193,137,80776,44319,49937,102166,139837,188195,150324,95699
CENATAC,42,54,1201,673,586,346,373,306,654,1120,697,375
BCL9L,389,267,6314,3238,16712,5105,5122,6859,4677,9305,6260,3072
CXCR5,6,9,1740,941,11,37,8,2,25,7,11,10
DDX6,993,1457,1698,1197,1935,1969,1397,1116,1086,256,2103,1389
TREH,24,36,939,558,35,38,21,0,87,155,33,45
PHLDB1,872,477,4802,2458,5191,4343,3230,7502,4534,9243,4555,2956
IFT46,130,280,1132,760,3293,2091,2762,2505,6063,5263,4935,2223
TMEM25,28,59,1455,720,1016,735,610,278,1033,369,1039,325
ARCN1,1212,1779,2289,1290,10855,10424,9121,8338,13072,6708,9423,8247
ATP5MG,379,769,0,13,6552,6014,7860,9134,15915,11284,11389,13259
KMT2A,1323,897,17904,10774,5973,5580,3212,2019,2309,3202,5583,1828
CD3D,0,0,779,433,72,317,93,58,389,457,398,312
CD3G,7,7,1261,667,69,390,82,106,275,527,290,287
CD3E,0,13,657,415,231,859,232,43,633,2017,508,413
MPZL2,126,261,789,441,3008,1824,1797,0,3351,1027,1740,2981
UBE4A,886,967,3541,2359,3038,4376,2717,2605,3882,2056,2854,2919
MPZL3,159,111,1140,612,1026,514,591,23,729,1633,450,1970
SCN2B,14,10,414,381,84,403,211,148,114,91,226,336
JAML,47,42,1371,945,441,1154,545,542,1099,2338,896,1322
SCN4B,30,143,870,507,25,124,130,64,683,148,466,476
SMIM35,0,0,9,11,12,0,4,8,0,68,10,42
IL10RA,47,62,1809,833,524,2024,1474,2817,2221,2246,1769,856
TMPRSS4,338,57,1060,517,135,283,196,0,276,1038,129,1993
TMPRSS13,115,81,1550,840,2362,515,1258,0,699,2218,1030,5880
FXYD2,0,0,213,98,10,10,30,0,34,75,38,0
FXYD6,184,250,279,141,6204,4337,7044,3161,6758,6831,7804,4961
DSCAML1,25,7,5964,3322,26,133,50,30,19,187,94,129
CEP164,204,251,3552,2140,2112,1513,1737,1351,1475,1086,1628,1264
RNF214,141,170,3082,1805,2226,1565,1668,1595,2319,2927,1776,916
PCSK7,191,382,2707,1599,9489,5279,6020,2232,4842,6925,2838,3121
BACE1,381,759,1150,685,4355,6729,3887,3331,5877,3929,4640,2117
TAGLN,403,1160,559,343,98511,22425,35937,28451,42308,87882,40242,23197
SIDT2,528,456,1895,1016,9188,7173,7735,9959,7960,13883,8459,7852
MIR8871,12,12,2,1,78,112,146,183,167,269,154,69
MIR8871,1,1,1,1,1,1,1,1,1,1,1,1
APOA1,20,10,787,361,2796,270,376,245,333,946,819,158
APOA4,0,0,1619,846,0,0,0,0,0,0,0,5
APOC3,13,0,281,164,347,0,11,2190,16,11,304,48
APOA5,5,0,1915,872,10,0,0,0,0,0,3,30
ZPR1,219,330,1521,883,2429,2239,2136,2981,5007,3402,3372,3736
SIK3,243,192,3767,2088,2657,2284,1810,1828,1223,1046,2571,1844
BUD13,97,108,3224,2058,1410,744,888,1033,1566,1581,1574,1022
NXPE4,0,0,2917,1813,0,19,17,0,326,28,14,0
REXO2,105,157,968,667,1414,1398,2019,1324,3870,3129,2013,3921
C5H11orf71,8,13,443,249,42,105,68,3,108,128,60,26
RBM7,92,171,533,372,833,1018,905,499,2747,365,1302,1031
CADM1,77,302,1368,918,1053,796,1655,212,2435,2192,562,540
NNMT,77,12,793,491,210,747,278,515,1296,589,515,784
HTR3B,3,4,1303,773,17,46,9,3,25,167,42,38
USP28,168,104,4089,2580,1445,782,988,603,1122,931,1711,889
ZBTB16,541,93,2501,1243,1947,2198,1792,4385,1015,5010,8807,1314
TMPRSS5,0,0,1274,555,8,23,22,189,54,61,24,42
ZW10,204,248,3424,2226,1551,1258,1879,1056,3133,3388,1694,3079
ANKK1,100,16,2349,1088,7633,118,26,0,187,210,285,1729
TTC12,24,9,2813,1536,1176,112,112,59,211,543,273,75
PLET1,125,45,1112,1313,707,187,207,484,370,397,340,14291
NCAM1,55,174,3006,1694,60,158,300,21,302,310,82,191
PTS,88,147,340,223,1111,932,1140,865,4349,894,1378,675
BCO2,24,17,2343,1502,200,457,282,522,615,1070,490,530
TEX12,0,0,705,430,0,0,7,0,5,6,0,0
IL18,52,44,877,609,83,533,239,416,1470,89,450,877
NKAPD1,229,428,1421,924,2264,1889,2086,1154,5026,3660,2902,2470
SDHD,322,617,8,12,3334,4728,4813,6952,13300,6311,6901,6999
TIMM8B,51,167,353,207,566,653,794,1405,2749,1589,1392,2445
PIH1D2,8,11,1670,1167,107,60,89,25,220,203,57,67
DLAT,233,240,2406,1386,1033,1101,1051,1851,2305,1226,1174,1085
C5H11orf52,10,145,597,428,1819,783,1262,136,1906,2795,850,353
HSPB2,20,0,906,439,1601,337,986,980,763,1128,749,233
CRYAB,77,88,379,255,9306,1502,6007,18444,4040,5917,4940,1732
DIXDC1,495,545,2501,1506,4812,4066,3469,4825,4796,1529,4449,1283
LAYN,42,22,1388,852,29,161,132,193,224,166,1035,388
HOATZ,0,0,993,577,0,0,0,0,0,0,0,0
MIR34C,0,0,30,15,0,0,0,0,0,0,0,0
MIR34C,0,0,1,1,0,0,0,0,0,0,0,0
MIR34B,0,0,27,6,0,0,0,0,0,0,0,0
MIR34B,0,0,1,1,0,0,0,0,0,0,0,0
C5H11orf53,0,0,1365,698,17,78,161,0,87,70,181,5
COLCA2,11,8,476,193,57,214,236,333,440,1163,253,33
ARHGAP20,132,161,5730,3732,89,616,347,1273,675,825,662,111
FDX1,127,230,816,510,1309,1068,1522,3280,4140,3905,2293,1083
C5H11orf1,36,121,259,147,1155,540,448,522,1370,618,523,382
ALG9,155,262,3066,1551,1106,1312,1221,1731,1385,939,1008,798
PPP2R1B,559,896,2927,1658,4657,4880,3949,7603,6967,5354,5198,5392
FDXACB1,40,53,685,472,210,140,231,207,536,215,323,245
SIK2,1180,532,3993,2310,7040,4295,3126,49739,4000,6399,4841,1757
RDX,666,1674,2505,1869,15442,8333,5933,4894,9547,1846,7151,2585
C5H11orf87,29,0,1159,537,0,0,8,41,10,23,12,0
ZC3H12C,143,302,4571,2494,373,841,718,506,774,683,795,479
DDX10,161,265,3548,2142,2084,1594,1242,1521,2210,991,2384,1679
C5H11orf65,2,2,547,381,5,0,0,0,0,0,0,0
EXPH5,909,509,11583,8424,3336,2667,747,123,995,933,947,2999
POGLUT3,750,542,1458,934,2209,5435,3759,3221,8137,3040,5303,3762
ATM,502,628,13476,9018,1140,1739,662,566,759,143,1305,524
NPAT,294,336,9638,6584,1141,1385,844,703,1636,949,1288,860
ACAT1,489,930,1060,706,7252,4246,4267,12516,12891,3215,5567,6218
RAB39A,8,0,1632,877,8,23,13,18,129,5,56,75
SLN,4,0,0,0,0,0,0,5,4138,0,0,0
SLC35F2,62,23,1602,1015,2056,608,1787,440,974,359,769,1442
CUL5,391,476,3687,2405,1547,2448,1766,980,3674,1122,2229,1706
ELMOD1,134,25,1858,1087,9,8,5,0,4,0,5,2962
ALKBH8,47,78,2739,1682,393,374,352,217,659,578,634,201
CWF19L2,251,338,3353,2190,1471,1492,904,1324,2351,974,2089,1127
AASDHPPT,195,333,1214,754,1602,1475,1951,1588,3438,1680,1852,1788
MSANTD4,66,69,1486,878,614,469,658,900,916,1304,1085,664
KBTBD3,143,207,3242,2004,576,732,583,455,1432,1211,778,537
GUCY1A2,571,347,2400,1658,16,530,344,243,500,210,668,152
CASP4,9,13,1280,832,92,689,501,1812,774,366,771,856
CASP12,7,0,1251,698,32,373,346,290,389,181,308,219
GRIA4,59,18,3225,1988,102,84,91,2673,71,78,254,72
PDGFD,690,505,1365,803,375,2729,2971,11048,4620,6037,8907,1530
DDI1,49,33,2214,1174,0,5,5,5,0,1,0,0
MMP13,0,0,2420,1467,5,272,360,0,189,113,30,34
MMP1,2,2,1976,1198,9,229,1133,30,231,77,216,745
MMP12,9,48,2796,1591,54,2716,9022,52,11731,124,2386,631
MMP8,0,0,1685,1240,0,29,4,319,19,10,642,96
DCUN1D5,76,132,1480,896,657,842,1060,551,2302,847,909,1045
MMP27,103,11,2643,1615,24,395,177,306,1347,456,910,1560
